VideoGameID,VGName,Platform,YearOfRelease,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,CriticScore,Critic_Count,UserScore,User_Count,Developer
1,Wii Sports,Wii,2006,Sports,41.36,28.96,3.77,8.45,82.53,76,51,8,322,Nintendo
2,Super Mario Bros.,NES,1985,Platform,29.08,3.58,6.81,0.77,40.24,,,,,
3,Mario Kart Wii,Wii,2008,Racing,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,Nintendo
4,Wii Sports Resort,Wii,2009,Sports,15.61,10.93,3.28,2.95,32.77,80,73,8,192,Nintendo
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,11.27,8.89,10.22,1,31.37,,,,,
6,Tetris,GB,1989,Puzzle,23.2,2.26,4.22,0.58,30.26,,,,,
7,New Super Mario Bros.,DS,2006,Platform,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,Nintendo
8,Wii Play,Wii,2006,Misc,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo
9,New Super Mario Bros. Wii,Wii,2009,Platform,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,Nintendo
10,Duck Hunt,NES,1984,Shooter,26.93,0.63,0.28,0.47,28.31,,,,,
11,Nintendogs,DS,2005,Simulation,9.05,10.95,1.93,2.74,24.67,,,,,
12,Mario Kart DS,DS,2005,Racing,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,Nintendo
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,9,6.18,7.2,0.71,23.1,,,,,
14,Wii Fit,Wii,2007,Sports,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,Nintendo
15,Wii Fit Plus,Wii,2009,Sports,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,Nintendo
16,Super Mario World,SNES,1990,Platform,12.78,3.75,3.54,0.55,20.61,,,,,
17,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,6.38,4.46,6.04,1.36,18.25,,,,,
18,Super Mario Land,GB,1989,Platform,10.83,2.71,4.18,0.42,18.14,,,,,
19,Super Mario Bros. 3,NES,1988,Platform,9.54,3.44,3.84,0.46,17.28,,,,,
20,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,6.06,3.9,5.38,0.5,15.85,,,,,
21,Pokemon Black/Pokemon White,DS,2010,Role-Playing,5.51,3.17,5.65,0.8,15.14,,,,,
22,Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,5.89,5.04,3.12,0.59,14.64,,,,,
23,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,5.28,4.19,4.35,0.78,14.6,,,,,
24,Super Smash Bros. Brawl,Wii,2008,Fighting,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,Game Arts
25,Mario Kart 7,3DS,2011,Racing,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division"
26,Animal Crossing: Wild World,DS,2005,Simulation,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,Nintendo
27,Super Mario 64,N64,1996,Platform,6.91,2.85,1.91,0.23,11.89,,,,,
28,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,4.34,2.71,3.96,0.76,11.77,,,,,
29,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,4.35,3.49,3.1,0.74,11.68,,,,,
30,Super Mario Galaxy,Wii,2007,Platform,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,Nintendo
31,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,6.16,2.04,2.69,0.29,11.18,,,,,
32,Super Mario 3D Land,3DS,2011,Platform,4.89,3,2.14,0.78,10.81,90,82,8.4,921,Nintendo
33,Super Mario All-Stars,SNES,1993,Platform,5.99,2.15,2.12,0.29,10.55,,,,,
34,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,4.34,2.65,3.15,0.35,10.49,,,,,
35,Super Mario 64,DS,2004,Platform,5.01,3.07,1.25,0.97,10.3,,,,,
36,New Super Mario Bros. 2,3DS,2012,Platform,3.66,3.14,2.47,0.63,9.9,78,70,7.2,424,Nintendo
37,Mario Kart 64,N64,1996,Racing,5.55,1.94,2.23,0.15,9.87,,,,,
38,Donkey Kong Country,SNES,1994,Platform,4.36,1.71,3,0.23,9.3,,,,,
39,Minecraft,X360,2013,Misc,5.7,2.65,0.02,0.81,9.18,,,,,
40,Animal Crossing: New Leaf,3DS,2012,Simulation,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,Nintendo
41,Mario Party DS,DS,2007,Misc,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,Hudson Soft
42,Super Mario Kart,SNES,1992,Racing,3.54,1.24,3.81,0.18,8.76,,,,,
43,Wii Party,Wii,2010,Misc,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,Nd Cube
44,Mario Party 8,Wii,2007,Misc,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,Hudson
45,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,2.79,1.72,3.14,0.41,8.07,,,,,
46,Mario & Sonic at the Olympic Games,Wii,2007,Sports,2.57,3.86,0.66,0.91,7.99,,,,,
47,Pac-Man,2600,1982,Puzzle,7.28,0.45,0,0.08,7.81,,,,,
48,Pokemon Platinum Version,DS,2008,Role-Playing,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,Game Freak
49,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,3.78,2.17,1.31,0.31,7.58,,,,,
50,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,3.27,1.37,2.43,0.48,7.55,,,,,
51,Super Mario Galaxy 2,Wii,2010,Platform,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,Nintendo EAD Tokyo
52,Super Mario Bros. 2,NES,1988,Platform,5.39,1.18,0.7,0.19,7.46,,,,,
53,Pokemon Sun/Moon,3DS,2016,Role-Playing,2.98,1.45,2.26,0.45,7.14,,,,,
54,Crash Bandicoot 3: Warped,PS,1998,Platform,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Naughty Dog
55,Mario Kart 8,WiiU,2014,Racing,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,Nintendo
56,Super Smash Bros. Melee,GC,2001,Fighting,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,HAL Labs
